Fecha,Hora,La Grama-Breña Alta PRB (mb),Flag,La Grama-Breña Alta SO2 (µg/m³),Flag
14-03-2019,03:00,994,V,8,V
14-03-2019,04:00,993,V,8,V
14-03-2019,05:00,993,V,7,V
14-03-2019,06:00,993,V,7,V
14-03-2019,07:00,993,V,8,V
14-03-2019,08:00,993,V,8,V
14-03-2019,09:00,994,V,7,V
14-03-2019,10:00,994,V,8,V
14-03-2019,11:00,994,V,8,V
14-03-2019,12:00,994,V,7,V
14-03-2019,13:00,994,V,9,V
14-03-2019,14:00,993,V,10,V
14-03-2019,15:00,992,V,11,V
14-03-2019,16:00,992,V,10,V
14-03-2019,17:00,992,V,9,V
14-03-2019,18:00,992,V,9,V
14-03-2019,19:00,992,V,8,V
14-03-2019,20:00,992,V,9,V
14-03-2019,21:00,993,V,8,V
14-03-2019,22:00,993,V,8,V
14-03-2019,23:00,993,V,7,V
14-03-2019,24:00,993,V,8,V
15-03-2019,01:00,993,V,3,V
15-03-2019,02:00,993,V,2,V
15-03-2019,03:00,992,V,1,V
15-03-2019,04:00,992,V,2,V
15-03-2019,05:00,991,V,2,V
15-03-2019,06:00,991,V,3,V
15-03-2019,07:00,992,V,3,V
15-03-2019,08:00,992,V,2,V
15-03-2019,09:00,992,V,2,V
15-03-2019,10:00,992,V,7,V
15-03-2019,11:00,992,V,24,V
15-03-2019,12:00,992,V,8,V
15-03-2019,13:00,992,V,5,V
15-03-2019,14:00,992,V,3,V
15-03-2019,15:00,991,V,3,V
15-03-2019,16:00,991,V,8,V
15-03-2019,17:00,991,V,21,V
15-03-2019,18:00,990,V,37,V
15-03-2019,19:00,990,V,34,V
15-03-2019,20:00,990,V,30,V
15-03-2019,21:00,991,V,11,V
15-03-2019,22:00,992,V,4,V
15-03-2019,23:00,992,V,5,V
15-03-2019,24:00,992,V,7,V
16-03-2019,01:00,992,V,5,V
16-03-2019,02:00,991,V,5,V
16-03-2019,03:00,,N,,N
16-03-2019,04:00,,N,,N
16-03-2019,05:00,,N,,N
16-03-2019,06:00,,N,,N
16-03-2019,07:00,,N,,N
16-03-2019,08:00,,N,,N
16-03-2019,09:00,,N,,N
16-03-2019,10:00,991,V,3,V
16-03-2019,11:00,992,V,1,V
16-03-2019,12:00,991,V,1,V
16-03-2019,13:00,991,V,2,V
16-03-2019,14:00,991,V,1,V
16-03-2019,15:00,990,V,1,V
16-03-2019,16:00,990,V,0,V
16-03-2019,17:00,990,V,3,V
16-03-2019,18:00,990,V,5,V
16-03-2019,19:00,990,V,3,V
16-03-2019,20:00,991,V,2,V
16-03-2019,21:00,991,V,4,V
16-03-2019,22:00,992,V,3,V
16-03-2019,23:00,992,V,4,V
16-03-2019,24:00,992,V,4,V
17-03-2019,01:00,992,V,6,V
17-03-2019,02:00,991,V,6,V
17-03-2019,03:00,991,V,4,V
17-03-2019,04:00,991,V,3,V
17-03-2019,05:00,991,V,4,V
17-03-2019,06:00,991,V,4,V
17-03-2019,07:00,991,V,2,V
17-03-2019,08:00,991,V,3,V
17-03-2019,09:00,992,V,3,V
17-03-2019,10:00,993,V,3,V
17-03-2019,11:00,993,V,5,V
17-03-2019,12:00,993,V,10,V
17-03-2019,13:00,993,V,12,V
17-03-2019,14:00,992,V,9,V
17-03-2019,15:00,992,V,10,V
17-03-2019,16:00,991,V,19,V
17-03-2019,17:00,991,V,25,V
17-03-2019,18:00,990,V,10,V
17-03-2019,19:00,990,V,8,V
17-03-2019,20:00,991,V,4,V
17-03-2019,21:00,991,V,4,V
17-03-2019,22:00,992,V,4,V
17-03-2019,23:00,992,V,4,V
17-03-2019,24:00,992,V,3,V
18-03-2019,01:00,992,V,4,V
18-03-2019,02:00,992,V,6,V
18-03-2019,03:00,991,V,6,V
18-03-2019,04:00,991,V,5,V
18-03-2019,05:00,990,V,5,V
18-03-2019,06:00,990,V,6,V
18-03-2019,07:00,991,V,5,V
18-03-2019,08:00,991,V,5,V
18-03-2019,09:00,991,V,5,V
18-03-2019,10:00,992,V,6,V
18-03-2019,11:00,992,V,6,V
18-03-2019,12:00,992,V,16,V
18-03-2019,13:00,992,V,15,V
18-03-2019,14:00,992,V,11,V
18-03-2019,15:00,991,V,11,V
18-03-2019,16:00,991,V,7,V
18-03-2019,17:00,991,V,6,V
18-03-2019,18:00,991,V,6,V
18-03-2019,19:00,991,V,4,V
18-03-2019,20:00,991,V,5,V
18-03-2019,21:00,991,V,5,V
18-03-2019,22:00,991,V,5,V
18-03-2019,23:00,992,V,5,V
18-03-2019,24:00,992,V,5,V
19-03-2019,01:00,992,V,3,V
19-03-2019,02:00,991,V,2,V
19-03-2019,03:00,991,V,3,V
19-03-2019,04:00,990,V,2,V
19-03-2019,05:00,990,V,2,V
19-03-2019,06:00,990,V,2,V
19-03-2019,07:00,990,V,2,V
19-03-2019,08:00,990,V,3,V
19-03-2019,09:00,990,V,2,V
19-03-2019,10:00,991,V,2,V
19-03-2019,11:00,991,V,3,V
19-03-2019,12:00,991,V,2,V
19-03-2019,13:00,991,V,2,V
19-03-2019,14:00,990,V,11,V
19-03-2019,15:00,990,V,14,V
19-03-2019,16:00,989,V,10,V
19-03-2019,17:00,989,V,6,V
19-03-2019,18:00,989,V,4,V
19-03-2019,19:00,989,V,2,V
19-03-2019,20:00,989,V,3,V
19-03-2019,21:00,990,V,3,V
19-03-2019,22:00,990,V,1,V
19-03-2019,23:00,990,V,2,V
19-03-2019,24:00,990,V,2,V
20-03-2019,01:00,990,V,4,V
20-03-2019,02:00,989,V,4,V
20-03-2019,03:00,988,V,4,V
20-03-2019,04:00,988,V,4,V
20-03-2019,05:00,987,V,5,V
20-03-2019,06:00,987,V,4,V
20-03-2019,07:00,987,V,3,V
20-03-2019,08:00,988,V,3,V
20-03-2019,09:00,989,V,4,V
20-03-2019,10:00,989,V,,N
20-03-2019,11:00,989,V,,N
20-03-2019,12:00,989,V,5,V
20-03-2019,13:00,989,V,5,V
20-03-2019,14:00,988,V,6,V
20-03-2019,15:00,987,V,6,V
20-03-2019,16:00,987,V,3,V
20-03-2019,17:00,987,V,3,V
20-03-2019,18:00,987,V,2,V
20-03-2019,19:00,987,V,3,V
20-03-2019,20:00,987,V,2,V
20-03-2019,21:00,988,V,3,V
20-03-2019,22:00,988,V,2,V
20-03-2019,23:00,988,V,3,V
20-03-2019,24:00,988,V,2,V
21-03-2019,01:00,988,V,3,V
21-03-2019,02:00,988,V,4,V
21-03-2019,03:00,987,V,5,V
21-03-2019,04:00,987,V,4,V
21-03-2019,05:00,987,V,4,V
21-03-2019,06:00,986,V,4,V
21-03-2019,07:00,987,V,4,V
21-03-2019,08:00,987,V,4,V
21-03-2019,09:00,988,V,4,V
21-03-2019,10:00,988,V,5,V
21-03-2019,11:00,989,V,6,V
21-03-2019,12:00,989,V,6,V
21-03-2019,13:00,988,V,6,V
21-03-2019,14:00,988,V,5,V
21-03-2019,15:00,987,V,5,V
21-03-2019,16:00,987,V,4,V
21-03-2019,17:00,987,V,4,V
21-03-2019,18:00,987,V,3,V
